0.84,1,2010.0,4,11,61.0,48.0,7.4,113.0,264,1
0.04,4,2002.0,8,7,92.0,6.0,8.2,77.0,56,2
0.36,4,2011.0,4,7,69.0,18.0,5.8,338.0,117,2
1.03,1,2011.0,5,6,68.0,85.0,5.8,404.0,219,2
0.06,3,2016.0,1,21,73.0,35.0,6.2,70.0,683,0
1.15,1,2012.0,4,7,53.0,43.0,5.4,437.0,165,1
5.38,3,2016.0,5,4,93.0,113.0,7.9,7064.0,24,2
1.75,3,2016.0,0,7,82.0,35.0,4.9,83.0,13,0
0.16,2,2008.0,5,10,62.0,40.0,5.8,18.0,338,2
0.08,3,2016.0,5,13,60.0,19.0,6.7,94.0,38,1
0.01,4,2013.0,3,39,62.0,24.0,7.7,169.0,813,2
0.72,1,2011.0,1,30,87.0,81.0,7.1,166.0,193,2
1.29,2,2008.0,4,11,75.0,24.0,7.7,33.0,32,3
0.03,3,2015.0,4,92,62.0,22.0,6.4,11.0,774,3
0.58,2,2013.0,3,5,91.0,23.0,8.7,310.0,126,3
0.33,2,2009.0,4,7,66.0,35.0,7.1,17.0,162,3
0.31,4,2013.0,4,11,74.0,17.0,7.5,1170.0,431,2
0.54,2,2012.0,5,2,77.0,27.0,8,350.0,337,1
0.2,1,2007.0,1,3,43.0,9.0,6.4,5.0,513,0
0.02,4,2004.0,5,29,93.0,48.0,8.9,537.0,23,1
0.12,4,2016.0,4,6,86.0,37.0,6,383.0,134,1
1.43,1,2010.0,1,1,52.0,46.0,5,20.0,159,0
0.14,2,2011.0,4,20,39.0,35.0,4.4,19.0,578,2
0.63,1,2009.0,4,29,79.0,53.0,8.5,125.0,130,2
0.91,0,2008.0,4,3,70.0,20.0,6.7,7.0,250,3
0.14,2,2011.0,2,18,65.0,8.0,6.7,60.0,226,3
0.12,2,2010.0,7,74,47.0,14.0,6.5,6.0,593,2
3.71,0,2007.0,3,0,85.0,56.0,7.9,417.0,57,0
1.79,0,2007.0,5,0,90.0,62.0,8.9,491.0,27,2
0.16,1,2009.0,4,3,60.0,4.0,5,4.0,489,3
0.06,6,2015.0,4,5,60.0,14.0,8.4,50.0,123,2
0.57,2,2012.0,5,6,67.0,16.0,6.4,107.0,145,1
0.14,0,2008.0,2,50,54.0,8.0,7.6,7.0,582,3
0.26,2,2012.0,7,38,70.0,17.0,6.6,120.0,376,2
0.32,0,2009.0,7,3,50.0,8.0,5.2,16.0,424,2
0.46,4,2014.0,8,20,80.0,36.0,6,151.0,154,2
0.88,0,2008.0,2,20,68.0,43.0,8.1,40.0,59,0
0.26,2,2008.0,4,20,55.0,26.0,6.8,20.0,439,2
0.17,1,2011.0,4,20,60.0,48.0,6.4,37.0,93,2
0.2,3,2015.0,5,82,62.0,26.0,6.8,88.0,211,2
0.18,2,2006.0,1,20,67.0,43.0,7.6,25.0,495,2
0.16,0,2008.0,0,7,49.0,5.0,5.8,32.0,26,0
0.13,4,2000.0,7,99,88.0,34.0,8.8,1056.0,212,1
2.14,3,2016.0,5,3,90.0,31.0,6.1,1358.0,28,2
2.96,3,2014.0,4,11,84.0,85.0,8.1,1886.0,74,1
0.91,1,2008.0,10,5,77.0,63.0,7.2,53.0,251,2
0.09,1,2014.0,4,8,70.0,22.0,7.8,239.0,204,1
0.76,0,2009.0,2,3,87.0,22.0,7.6,19.0,275,2
0.39,2,2010.0,0,7,71.0,33.0,5.7,14.0,26,0
0.42,1,2012.0,5,2,76.0,59.0,8.2,319.0,337,1
0.18,6,2014.0,2,5,58.0,6.0,8.3,28.0,33,0
2.06,1,2009.0,6,18,83.0,68.0,7.9,51.0,115,2
0.43,2,2013.0,5,21,74.0,12.0,6.2,181.0,329,1
0.27,1,2011.0,4,13,72.0,48.0,7.5,60.0,149,1
0.62,0,2007.0,1,0,46.0,34.0,6.8,26.0,313,0
0.06,1,2007.0,5,3,35.0,11.0,6.1,21.0,515,2
0.15,0,2007.0,4,38,53.0,30.0,6.8,6.0,290,2
0.78,2,2011.0,5,3,72.0,38.0,6.3,52.0,226,2
0.94,2,2009.0,4,7,83.0,61.0,7.6,162.0,238,1
0.12,1,2011.0,0,5,21.0,5.0,5,25.0,9,2
0.14,4,2014.0,5,20,81.0,41.0,8.4,1588.0,198,1
0.24,2,2012.0,9,39,65.0,16.0,7.4,34.0,478,1
0.14,1,2011.0,9,5,35.0,11.0,4.7,7.0,9,2
